CVE_PROD,DESC1,DESC2,TRANS
MVI7,"ACICLOVIR, 200MG, 125ML. SUSP.",,3
MVI10,"NITRFURANTONIA, 100MG, 40CAPS. SURONIT",,3
MVI38,"KETOROLACO,30 MG. 1ML, 3AMP.",,1
MVI37,"KETOROLACO, 10MG,  10 TABS.",,3
MVI39,"KETOROLACO, 30 MG, 4 TABS. SL.",,3
MVI40,"KETOROLACO, TRAMADOL, 10/25 MG.10 CAPS.",,3
MVI42,"METFORMINA, GLIBENCLAMIDA, 500/5MG, 60 TABS.",,3
MVI41,"METFORMINA CLORHIDRATO, GLIBENCLAMIDA 500/ 2.5MG GRAG C/30",,3
MVI45,"NORFLOXACINO, 400MG, 20 GRAG.",,3
MVI12,FLUCONAZOL CAPS 150MG C/1,,3
MVI46,"COMPLEJO B   GRAGEAS  {TIAMINA (B1), PIRIDOXINA (B6), CIANOCOBALAMINA (B12), DICLOFENACO} CAJA C/30",,1
TOC3,FLUOCINOLONA NEOMICINA,,1
MVI51,"FENAZOPIRIDINA, 100MG, 20 TABS.",,3
VAR18,"LEVODROPROPIZINA 600MG, 100ML.",,3
FAR23,"BENZONATATO, 100MG., 20 CAPS TEXOVEN",,3
AVIVIA41,"CAPTOPRIL, 25 MG, 30 TABS.",,1
IQF20,"FUROSEMIDA, 40MG, 20 TABS.",,1
WERM2,"OMEPRAZOL, 20 MG. 14 CAPS.",,1
MAV123,CEFALEXINA 1G 12 TABS.,,3
VAR20,"METFORMINA CLORHIDRATO TABS 850MG, CAJA C/30   PISA",,1
CON9,"PICOSULFATO DE SODIO, 100MG/100ML, 120ML SUSP.",,3
BRU70,"PARACETAMOL, 500MG, 10 TABS. ACETIF",,3
BRU74,"COMPLEJO B C/DICLOFENACO, 30 GRAGEAS.",,3
MAV18,"CIPROFLOXACINO, 500 MG, 8 TABS.",,3
VAR32,"BECLONETASONA, 50 MCG, 200 DOSIS, AEROSOL.",,1
ALPH18,"ENALAPRIL, 10 MG, 30 TABS.",,1
SER1,DUTASTERIDA TAMSULOSINA 0.5MG/0.4MG C/30 CAPS.,,3
SER2,"PROTECTOR SOLAR, 125G,",,3
SER3,"ACIDO ASCORBICO, 1GR, 10 TABS, EFERVECENTE VITAMINA C.",,3
CON2,"PARACETAMOL, FENILEFRINA, CLORFENAMINA, 60/5/2 MG, 15ML, GTS.",,1
CON3,"CLORFENAMINA, FENILEFRINA, 0.20/0.50G, 120 ML, SUSP.",,1
CON4,"CLORFENAMINA, FENILEFRINA, PARACETAMOL 
C/12 TABLETAS   4MG/5MG/500MG",,3
MAV182,"AMANTADINA, CLORFENAMINA, PARACETAMOL, 2.5/0.1/15G. 30ML, GTS, PED.",,1
TOC7,"HIERRO DEXTRANO, INY 100 MG, 4 AMP.",,2
MAV106,"PRESERVATIVO LUBRICADOS LATEX NATURAL, 3 CONDONES",,3
SER4,"CLONIXINATO DE LISINA, 250MG, 10 TABS.",,3
NAT25,"COMPLEJO B, B1,B2,B3, B5,B6, B12,A, C, D3, E, 30 CAPS.",,3
NAT24,"BIOFLAVONOIDES, LACTOBACILOS Y VITAMINA C C90 TABS 911 MG",,1
CON10,"AMBROXOL, 300MG/100ML, 120ML, JBE.",,3
CON11,CLORHIDRATO DE AMBROXOL 750MG / 1ML  GOTAS 30ML,,3
CON12,GUAIFENESINA 5.00 G CLORHIDRATO DE,,1
CON13,"OXOLAMINA, 1G, 120 ML, SUSP.",,1
CON14,"RANITIDINA 4.00G. 30 ML, GTS.",,1
CON15,"DEXTROMETORFANO, GUAIFENESINA, 0.200/2.0 G, AD. 120ML, SUSP.",,1
CON16,"PARACETAMOL, 3.20G/100ML,120ML JBE.",,1
CON17,"QUINFAMIDA, ALBENDAZOL, 100/400 MG, 10 ML, SUSP.",,3
CON18,"PARACETAMOL, 100MG/1ML 15ML, GTS.",,1
CON19,"IBUPROFENO, 400 MG, 10 TABS.",,1
CON20,"ALUMINIO, MAGNESIO, DICICLOVERINA, DIMETICONA, 30 TABS.",,1
CON21,"AMANTADINA, CLORFENAMINA, PARACETAMOL, FENILEFRINA, 0.500/0.020/3.000/0.055 G. 60ML, JBE.",,3
SON39,"LIDOCAINA, HIDROCORTISONA, 0.5/0.25, 30G, 6 CANULAS.",,3
SON33,"NEOMICINA, RETINOL, VITAMINA A, 0.350/100,000, 28GR, CREMA.",,3
SON29,"METAMIZOL SODICO SUSP   250MG, FRASCO 100ML",,3
MAV82,"CEFUROXIMA, 250 MG, 10 TABS.",,1
MAV83,"PIOGLITAZONA, 30MG, 7 TABS.
",,3
IQF23,"TRIMETROPRIMA, SULFAMETOXAZOL, 8/4G. 120ML. SUSP.",,1
NAT41,"PALETA PROPOLEO, 400MG, 16 PZAS.",,3
BRU80,"AMOXICILINA,BROMHEXINA, 4.500G/0.114G, 90ML. SUSP.",,1
MAV104,"PRESERVATIVO LUBRICADOS LATEX NATURAL, 3 CONDONES",,1
TOC4,FLUCIONOLONA 0.01G,,1
FAR12,"VITAMINA E, 600MG, GERMEN DE TRIGO. CAPS DE 0.9G C/U, CAJA C/30",,1
SNA33,"SHAMPHOO PIOKIDS, 240ML.",,3
MAV19,"AMOXICILINA, ACIDO CLAVULANICO, 125/31.25 MG, 60 ML. SUSP.",,3
COL36,"TOBRAMICINA, 3.0MG 5ML, GTS.",,3
MVI47,"KETOROLACO,TRAMADOL, 10MG/ 25 MG, 1 ML.  3AMP.",,3
VAR1,"TOBRAMICINA, 5ML. OFT.",,1
VAR2,"CLOROPIRAMINA, 25 MG, 20 TABS.",,1
VAR24,"VALERIANA, LUPULO, PASIFLORA, TILA, TUMBA VAQUERO , MANITA, CAPS 500MG,24 CAPS.",,1
VAR25,"VALERIANA, LUPULO, PASIFLORA. SUSP. FRASCO 220ML",,1
WERM4,"AMANTADINA,CLORFENAMINA,PARACETAMOL.0.05/0.02,/300G.  60ML..",,3
LOE7,"SULFADIAZINA DE PLATA, 1 G, 28 G, CREMA.",,3
LOE9,"BENCIDAMINA, 150 MG, 360 ML, SOL. artroben",,3
LOE14,"LIDOCAINA, HIDROCORTISONA, 60/5 G. 6 SUPO DESIN.",,3
LOE21,"NAPROXENO, PARACETAMOL, 100//200 MG, 5 SUPO.",,3
LOE25,"PARACETAMOL, 3.2 G, 120 ML, SOL.",,3
MAV124,"AMOXICILINA, SULBACTAM, 250/250MG, 60ML, SUSP.",,1
NAT42,"HOJAS DE GUAYABA, 545MG, 60 TABS.",,3
VAR8,"DEXTROMETORFANO, GUAIFENESINA, PARACETAMOL, .150G/1.200G/3.000G",,1
VAR9,DICLOFENACO INY,,1
VAR35,"CLINDAMICINA, INY, 600 MG, 4 MG, 1 AMP.",,1
VAR36,INDOMETACINA 25 MG EXCIPIENTE CBP 1 CAPSULA,,1
LROY13,ABATELENGUAS C/500 (SELECTA),,3
AVIVIA46,SILDENAFIL 100 MG 4 TABS. 2X1,,3
NAT28,"OMEGAS, 1.43G, 30 CAPS.",,3
MAV60,"CLONIXINATO DE LISINA, BUTILHIOSCINA, 250/10MG, 10 TABS.
",,3
ALP9,"CALENDULA, SPRAY, 60ML.",,3
ALP6,"EXTRATO DE CLAVO, LAUREL Y CITRONELA, SPRAY, 60 ML.",,3
URB2,"MENTOL, SALICILATO DE METILO, EXTRACTO DE ARNICA. GEL TUBO 200G",,3
URB1,"GLUCOSAMINA, 10 MG, COLAGENO HIDROLIZADO, 75 MG, CALCIO, 75 MG, CONDROITINA, 25 MG, MSM, 10 MG, 60 TABS.",,3
URB3,"MENTOL, SALICILATO DE MENRHIOL, CREMA FRASCO 120GR",,1
ACO13,"PANTOPRAZOL, 40 MG, 14 TABS.",,3
ACO14,"PANTOPRAZOL, 40 MG, 28 TABS.",,3
OFE1,MICONAZOL 2.0 G EXCIPIENTE CBP 100 G,,1
COL78,"LEVOFLOXACINO, 500MG, 7 TABS.",,3
NAT43,"SEMILLA DE UVA RESVERATROL, VITAMINA E, MAGNESIO Y COPOVIDONA.535MG, 45 TABS.",,3
COL62,"ALUMINIO, MAGNESIO,DIMETICONA, 3.7/4/0.5, G. 360ML, SUSP.",,3
MVI82,"CLINDAMICINA, KETOCONAZOL, 8G/100G, 30G, CREMA, 6 APLICADORES VAG.",,3
CON22,BENZOATO DE BENCILO,,1
NOV56,TAMSULOSINA 0.04 MG 20 CAPS.,,3
SER6,"PROPANOLOL, 40MG, 30 TABS. (LAB. SERRAL)",,3
IQF24,"GLIBENCLAMIDA, 5MG, 50 TABS.",,1
MAV192,"PROBIOTICO, 1G, 6 SOBRES",,3
FAR24,"VITAMINAS Y MINERALES CON JALEA REAL, AJO DEODORIZDO Y FOSFOLIPIDOS Y COLINA",,3
MAV189,"KETOROLACO, 30MG, 6 TABS, SL.",,1
BRU89,"ACIDO FOLICO , 0.04MG, 90 TABS.",,1
NAT48,"RESVERATROL, 600MG,30 CAPS.",,1
MVI55,"SILDENAFIL, 50MG, 1 TAB.",,3
MVI56,"SILDENAFIL, 50MG, 4 TABS.",,3
MVI57,"SILDENAFIL, 100MG, 1 TAB.",,3
MVI58,"SILDENAFIL ,100MG ,4 TABS.",,3
JAL1,"ACEITE ALMENDRAS,60 ML",,3
JAL2,"ACEITE DE BEBE, 120ML.",,3
JAL3,"ACEITE DE BEBE, 60ML.",,3
JAL4,"ACEITE DE OLIVO, 120ML.",,3
JAL5,"ACEITE DE OLIVO, 60ML.",,3
JAL6,"ACEITE  DE RICINO, 60ML.",,3
JAL7,"ACETONA, 60ML.",,1
JAL8,"AGUA OXIGENADA, 112ML. JAL.",,3
JAL9,"AGUA OXIGENADA, 56ML.JAL.",,3
JAL14,ALGODÓN 100GR. JAL.,,3
JAL10,ALGODÓN 10GR.30 BOLSAS. JAL.,,1
JAL12,"ALGODÓN, 3G. 100 BOLSAS. JAL.",,3
JAL13,"ALGODÓN, 50GR. JAL.",,3
JAL15,"TORUNDA, 100G, 100TORUNDAS.JAL.",,3
JAL17,"BIBERON CON MAMILA AMARILLO, 4 OZ.",,3
JAL16,"BIBERON CON MAMILA AZUL, 4 OZ.",,3
JAL18,BIBERON CON MAMILA  BLANCA8OZ.,,3
JAL19,"BIBERON CON MAMILA AMARILLA, 8OZ.",,3
JAL20,"CHUPON CON MIEL, 40 PZAS.",,3
JAL38,"VENDITAS ADHESIVAS, 100 PZAS. JAL.",,3
JAL21,"GASA 10X10 C/100 SOBRES, JALOMA
",,3
JAL22,"VENDA ELASTICA, 15CM. 5PZAS. JAL.",,1
JAL23,***GLICERINA  FCO C/60ML,,3
JAL24,"KIUTS COTTON,BOLSA,20 PZAS",,1
JAL25,"KIUTS , TARRO, 100 PZAS.",,3
JAL29,"MERTODOL, BLANCO, 40ML. JAL.",,3
JAL30,"MERTODOL, ROJO, 40ML. JAL.",,3
JAL31,***POMADA PARA LABIOS VITROLERO C/60 PIEZAS,,3
JAL26,"KLIN QUITAESMALTE FRESA, 110ML.",,1
JAL27,"KLIN QUITAESMALTE HERBAL, 110ML.",,1
JAL28,"KLIN QUITAESMALTE LIMON, 110ML.",,1
JAL32,TELA ADHESIVA SEDOSA 1.25cm X 1m,,3
JAL33,"TINTURA DE YODO, 40ML. JAL.",,3
JAL34,"VENDA ELASTICA, 10 CM. 10 PZAS.JAL.",,1
JAL35,"VENDA ELASTICA, 30CM, 1 PZA. JAL.",,1
JAL36,"VENDA ELASTICA, 5CM. 10 PZAS. JAL.",,3
JAL37,"VENDA ELASTICA, 7CM. 10 PZAS. JAL.",,1
JAL39,"VIOLETA GENCIANA, 40ML.JAL.",,3
NOV21,"ENALAPRIL TABS 10MG, C/30",,3
NOV1,"PLANTAGO PSYLLIUM,  POLVO SABOR NARANJA-PIÑA, FRASCO 400G",,3
NOV24,"NEOMICINA 129MG, CAOLIN 280MG Y PECTINA 30MG",,3
NOV39,ACIDO FOLICO 0.4 MG EXCIPIENTE 1 TABLETA,,1
NOV52,OXIDO DE ZINC PASTA 25G TARRO  C/30 GR,,3
NOV55,"ALBENDAZOL TABS C/6, 200 MG",,3
MAV76,"MELOXICAM, 15MG, 10 TABS.",,3
MAV193,"LORATADINA, BETAMETASONA, 5.00/0.25MG, 10 TABS.",,3
NAT50,"PROBIOTICOS, INULINA, 6 SOBRES. (PEDIATRICO)",,1
NAT51,"MULTIVITAMINICO,OMEGA 3, A, C, D3, E, B1, B2 , B3, B, B6, B12, 30 CAP.  
",,1
NAT52,"MULTIVITAMINICO,  D, 30 CAPS.",,3
DEG25,"SILDENAFIL, 50MG., 10 TABS.",,1
SRV1,"VEHICULO USADO EN EL ESTADO EN QUE SE ENCUENTRE
MARCA: PEUGEOT 
TIPO: PARTNER MAXI 5P 1.6
MODELO: 2018 
VERSION: TRANSMISION MANUAL, COMBUSTIBLE DIESEL, 4 CILINDROS, 
COLOR: BLANCO
MOTOR: 10JBEM0552795
NUM DE SERIE: VF37R9HF3JJ518770",,2
KEN3,JERINGA,,1
NAT10,MORINGA 650 MG C/60 CAPS,,1
MAV1,"TRIMETOPRIMA, SULFAMETOXAZOL,  80/400 MG, 20 TABS.",,1
MAV2,"TRIMETOPRIMA, SULFAMETOXAZOL, 160/800 MG, 14 TABS.",,3
AVIVIA33,LOSARTAN HIDROCLOROTIAZIDA 50/12.5 C/15,,1
BIOM38,"NAPROXENO SODICO, 550mg, 12 TABS.",,3
BRU86,"CAPTOPRIL, 25 MG, 30 TABS.",,3
MIC5,"CEFALEXINA, 500MG, 20 CAPS.",,1
IQF14,,,1
IQF18,"OXIDO DE ZINC, 25MG, 50GR.",,1
AMS64,"OMEPRAZOL INTRAVENOSO, INY, 40 MG, AGUA DILUYENTE 10ML. 1 AMP.",,3
VAR5,"HIOSCINA, 20MG, IBUPROFENO, 400 MG, 10 TABS. (LAB. APOTEX)",,3
IQF5,"ACICLOVIR , 0.05G, 5G. CMA.",,1
LROY11,GOTERO,,1
VAR31,"DEXTROMETORFANO .20G, GUAIFENESINA 2.0G,  CLORFENAMINA .03G",,1
MAV13,"CEFALEXINA, 500 MG, 20 CAPS.",,3
MAV58,"LOSARTAN, HIDROCLOROTIAZIDA, 50MG/12.5MG, 15 COMPS.",,3
WERM6,"AMANTADINA,CLORFENAMINA,PARACETAMOL.50/3/300G, 24 CAPS..",,3
LOE19,"GLIMEPIRIDA, 4 MG, 30 TABS.",,3
LAND7,ATORVASTATINA C/10 TABS 20 MG,,3
BRU1,"SALBUTAMOL , 40MG, 120ML. JBE.",,1
BRU2,"METRONIDAZOL, 500mg. 20 TABS.",,1
BRU3,"DOXICICLINA, 100MG 10 CAPS.",,1
BRU4,"AMPICILINA, 500MG, 20 CAPS",,1
SON17,"CLOTRIMAZOL, 200MG, OVULOS, 10 G, CREMA.",,3
SON18,"INDOMETACINA, DEXAMETASONA 25MG/0.25MG, 30, GRAG.",,3
SON38,"PANCREATINA, BILIS BUEY, DIMETILPOLISILOXANO, 130/50/40MG, 20 TABS.",,3
GEL16,"BENZONATATO, 100MG.,  20 PERLAS",,1
IQF12,,,1
CON23,"METAMIZOL, 250MG, 120ML, JBE.",,3
DAN11,"CARBOMERO, CEDRO BLANCO, SABILA, MENTA, 250ML. SHAMPOO.",,1
AVIVIA50,"MOXIFLOXACINO,400 MG, 7 TAB.",,3
MAV186,CORIVER  500MG C/20 TABS,,3
TOC5,FLUOCINOLONA . 01G YODOCLOROHIDROXIQUINOLEINA 3G,,1
MVI61,"RANITIDINA, 5ML, 5 AMP.",,1
MVI62,"CROMOGLICATO DE SODIO,40MG, 5ML,GTS.",,1
FAR2,"CONDROITINA, GLUCOSAMINA, MANGANESO,VITAMINA C, 200/300/20/30MG.  60 CAPS.",,3
MAV196,TOLTERODINA 2 MG C/14 TABS,,3
CMD4,"PANAX GINSENG, 30 CAPS.",,3
CMD5,"VITAMINA, MINERALES, LUTEINA, 0.642G, 30 CAPS.",,3
CMD1,"GLUCOSAMINA, CONDROITINA COMPUESTA, 30 CAPS.",,3
CMD12,"VITAMINA-C, 24 GOMITAS .",,3
CMD10,"ACIDO FOLICO , 400MCG, 90 TABS",,3
CMD11,"SAW PALMETO, 60 CAPS, FCO.",,3
CMD3,"VITAMINA Y MINERALES, GOMITAS, 60 PZAS.",,3
CMD6,EXTRACTO SECO DEL CUERPO FRUCTIFERO DE GANODERMA,,3
CMD7,"EUCALIPTO, GORDOLOBO, SAUCO .",,3
CMD8,"COMPLEJO B1,B2, B3,B5,B6, ACIDO  FOLICO,B12, OMEGA3,6,9,50 CAPS. complefor",,1
CMD9,"VITAMINA A, B1,B6,B9,B12,C,E,OMEGA 3",,3
MAV125,"SILDENAFIL, 50MG, 10 TABS.",,3
CMD14,"OMEGA3,VITAMINA Y MINERALES, 240ML. JBE",,3
CMD15,"ACIDO GLUTAMICO, VITAMINA C, COMPLEJO B, 60 CAPS.",,1
CMD16,"VITAMINA, MINERALES Y OMEGA 3, 30 CAPS.",,3
CMD17,"VITAMINA C, ZINC, BETA GLUCANO, 60 GOMITAS.",,3
CMD18,"AMINOACIDOS 4, VITAMINAS 12 Y MINERALES 7 SABOR MENTA",,1
CMD19,COLAGENO,,1
CMD20,"ACIDO GLUTAMICO, VITAMINAS, MINERALES, 60 COMP.",,3
CMD21,"SENOSIDOS A-B, CONCENTRADO DE CIRUELA, 30 CAPS.",,1
CMD22,"VITAMINAS Y MINERALES, 240ML, JBE.",,3
CMD23,"CALCIO,MAGNESIO Y VITAMINAS, 60 TABS.",,1
CMD24,"CARDO MARIANO, 60 COMP.",,3
CMD25,"VITAMINA C, PETALOS DE ROSA, 500MG/100MG,60 TABS.",,3
CMD26,,,1
CMD27,"L-CARNITINA, L-METIONINA  Y VITAMINA B1",,1
GEL17,"VITAMINAS Y MINERALES PARA LA ETAPA DE MENOPAUSIA., 200MG., 30 CAPS.",,3
GEL18,"VITAMINAS Y MINERALES PARA LA SALUD VISUAL., 0.79G. 30 CAPS.",,1
DEG36,"SILDENAFIL, 100MG., 10 TABS.",,3
IDEAL1,VENDA ELASTICA 5 CM X 5 M. ( 12 PZAS X PAQUETE ),,3
LROY2,"
",,3
IDEAL3,VENDA ELASTICA 10 CM X 5 M. (24 PZAS X PAQUETE ),,3
LROY4,"
",,3
LROY5,"
",,3
IDEAL4,"VENDA ELASTICA 15 CM X 5 M. (24
 PZAS X PAQUETE)",,1
IDEAL5,VENDA ELASTICA 30 CM X 5 M. (12 PZAS X PAQUETE),,3
VAR14,"METFORMINA, 850 MG, 30 TABS.",,1
MAV126,"MONTELUKAST, 10MG, 20 TABS.",,3
MAV127,"VENLAFAXINA, 75MG, 20 CAPS, LIBERACION PROLONGADA.",,3
VAR15,"PRUEBA DE EMBARAZO, TIPO PLUMA  C/CAJA, 1 PZA",,3
VAR17,"PRUEBA DE EMBARAZO, TIPO TIRA  C/CAJA, 1 PZA
",,1
VAR52,"HIDROCORTISONA, INY,  500 MG, AGUA INYECTABLE 5ML IV, IM, 2 AMP.",,1
VAR53,"BALSAMO DE TOLU,DEXTROMETORFANO,FENILEFRINA,GUAYACOL, 7.5/100/5MG. 120ML.",,1
VAR54,ELECTROLITOS (LAB. APOTEX),,3
JAYOR45,"SALBUTAMOL,SPRAY 200 DOSIS 100MCG",,3
MVI64,"GABAPENTINA 300MG,15 CAPS.",,3
LOE26,"NIMESULIDA,100 MG, 10 TABS.",,1
LOE17,"TOPIRAMATO, 100 MG, 20 TABS.",,1
LOE20,"GLIMEPIRIDA, 2 MG, 30 TABS.",,3
VAR19,"CASTAÑO DE INDIAS, BIOFLAVONOIDES, VITAMINA C, SEMILLA DE UVA, 45 TABS. (BIOMIRAL)",,1
VAR26,"AMBROXOL, DEXTROMETORFANO, 113 MG, 100 ML.",,1
AG7,"VASO CLINICO  RECOLECTOR 100 ML
PARA MUESTRAS DIVERSIAS CON TAPA ROSCA (VASO COPRO)",,3
SNA1,"ACIDO GLUTAMICO, VITAMINAS, MINERALES, 250ML.",,3
LOE16,"DIOSMINA, HESPERIDINA, 450/50 MG, 20 TABS.LOEFFLER",,3
CMD28,"VALERIANA, 30 CAPS.",,3
CMD29,"OMEGA 3-6-9, 60 CAPS.",,1
MVI66,"BENZALCONIO CLORURO 0.250G ATOMIZADOR, FRASCO 60ML",,1
NAT38,"MULTIVITAMINICO, 575MG,30 TABS.",,3
LROY8,,,3
WERM5,"AMANTADINA,CLORFENAMINA,PARACETAMOL.50/3/300G, 15 TABS.",,3
BRU47,"AMOXICILINA, BROMHEXINA, 500MG/8MG, 12 CAPS",,1
COL44,"AMANTADINA, CLORFENAMINA, PARACETAMOL, 0.50/0.02/3.00, 60ML.",,3
COL68,"LORATADINA, BETAMETASONA, 5.00/0.25 MG 10 TABS",,3
COL69,"TRAMADOL, 50 MG, 10 CAPS.",,3
URB7,"EXTRACTO DE ALGAS MARINAS, EXTRACTO DE MENTOLEXTRACTO DE EUCALIPTO, EXTRACTO DE ROMERO, EXTRACTO DE CAPSICUM, UNISPHERES",,1
COL17,"AMANTADINA, CLORFENAMINA, PARACETAMOL, 2.5/0.1/15 G, 30ML, GTS.",,3
COL18,"METFORMINA, GLIBENCLAMIDA, 500/5MG, 30 TABS.",,1
COL19,"SERTRALINA, 50MG, 20 CAPS.",,3
COL1,"AMPICILINA, METAMIZOL, GUAIFENESINA, CLORFENIRAMINA, 500/500/100/4MG, ADT. C/3 JERINGAS",,3
COL2,"AMPICILINA, METAMIZOL, GUAIFENESINA, CLORFENIRAMINA, 250/200/100/2MG, INF.  C/3 JERINGAS",,3
COL20,"METFORMINA, 850MG, 30 TABS.",,1
COL21,"DEXAMETASONA, NEOMICINA, FENILEFRINA, 0.5/3.5/1.0 MG, 15ML, GTS.",,3
COL22,"DEXAMETASONA, 8MG, 2ML, 1 INY.",,3
COL23,"NAPROXENO, CARISOPRODOL 250MG/200MG, 30, CAPS.",,1
